Alabama,AL,4.15
Alaska,AK,0.00
Arizona,AZ,4.50
Arkansas,AR,5.50
California,CA,13.30
Colorado,CO,4.55
Connecticut,CT,6.99
Delaware,DE,7.85
Florida,FL,0.00
Georgia,GA,5.75
Hawaii,HI,11.00
Idaho,ID,6.50
Illinois,IL,4.95
Indiana,IN,5.25
Iowa,IA,5.37
Kansas,KS,5.70
Kentucky,KY,7.20
Louisiana,LA,2.68
Maine,ME,7.15
Maryland,MD,8.95
Massachusetts,MA,5.00
Michigan,MI,6.65
Minnesota,MN,9.85
Mississippi,MS,5.00
Missouri,MO,6.30
Montana,MT,6.75
Nebraska,NE,6.84
Nevada,NV,0.00
New Hampshire,NH,0.00
New Jersey,NJ,11.75
New Mexico,NM,5.90
New York,NY,14.78
North Carolina,NC,4.99
North Dakota,ND,2.90
Ohio,OH,6.49
Oklahoma,OK,4.75
Oregon,OR,14.69
Pennsylvania,PA,6.91
Rhode Island,RI,5.99
South Carolina,SC,7.00
South Dakota,SD,0.00
Tennessee,TN,0.00
Texas,TX,0.00
Utah,UT,4.95
Vermont,VT,8.75
Virginia,VA,5.75
Washington,WA,0.00
West Virginia,WV,6.50
Wisconsin,WI,7.65
Wyoming,WY,0.00
